,Name,Rating,No. of Reviews,Type of Company
335,Whitehat jr,3.3,2.7k,EdTech 
336,G4S,4.0,2.7k,Law Enforcement & Security 
337,Care Health Insurance,3.5,2.7k,Insurance 
338,Gallagher,3.6,2.7k,Insurance 
339,Ajanta Pharma,3.9,2.7k,Pharma 
340,Blue Star,4.0,2.7k,Consumer Electronics & Appliances 
341,Sonalika Tractors,3.5,2.7k,Automobile 
342,Movate,3.1,2.7k,IT Services & Consulting 
343,Voltas,4.0,2.7k,Consumer Electronics & Appliances 
344,Tata Advanced Systems,3.7,2.7k,Defence & Aerospace 
345,Photon Interactive,4.1,2.6k,IT Services & Consulting 
346,BlackBuck,3.7,2.6k,Internet 
347,Adani Power,3.7,2.6k,Power 
348,DBS Bank,3.7,2.6k,Banking 
349,NoBroker,3.0,2.6k,Internet 
350,ACT Fibernet,3.8,2.6k,Telecom 
351,Domino's Pizza,3.9,2.6k,Hospitality 
352,Foundever,3.4,2.6k,BPO 
353,IntouchCX,2.7,2.6k,BPO 
354,Himalaya Wellness,3.9,2.6k,Pharma 
355,Fortis Healthcare,4.0,2.6k,Healthcare 
356,Laurus Labs,4.3,2.6k,Pharma 
357,BT Group,3.8,2.6k,Telecom 
358,V-Mart,4.0,2.6k,Retail 
359,Sahrudaya Healthcare (Medicover Hospitals),4.3,2.6k,Healthcare 
360,JCB,3.9,2.6k,Industrial Machinery 
361,Alldigi Tech,3.8,2.5k,BPO 
362,Northern Trust Operating Services,3.6,2.5k,Financial Services 
363,Sterlite Technologies,3.8,2.5k,Hardware & Networking 
364,Tractors and Farm Equipment,3.9,2.5k,Industrial Machinery 
365,Bajaj Electricals,3.9,2.5k,Consumer Electronics & Appliances 
366,Sammaan Capital Limited,3.7,2.5k,NBFC 
367,Adani Group,3.8,2.5k,Power 
368,Parle Agro,3.9,2.5k,Beverage 
369,CorroHealth Infotech,3.6,2.5k,Analytics & KPO 
370,Emcure Pharmaceuticals,3.6,2.5k,Pharma 
371,ICICI Securities,3.9,2.5k,Financial Services 
372,Planet Spark,3.8,2.5k,EdTech 
373,Biocon Limited,4.0,2.5k,Biotechnology 
374,TaskUs,3.0,2.5k,BPO 
375,Hero FinCorp,3.9,2.5k,NBFC 
376,Mahindra Holidays & Resorts,3.5,2.5k,Hospitality 
377,GAO Tek,4.4,2.5k,Electrical Equipment 
378,Datamatics Global Services,3.4,2.5k,IT Services & Consulting 
379,McDonald's,3.8,2.5k,Hospitality 
380,Intellect Design Arena,3.5,2.5k,Software Product 
381,Mahindra Rural Housing Finance,4.0,2.5k,NBFC 
382,Paras Hospital,4.1,2.4k,Healthcare 
383,Cadila Pharmaceuticals,3.2,2.4k,Pharma 
384,Patanjali Ayurved,3.9,2.4k,FMCG 
385,Syngene International,3.7,2.4k,Clinical Research 
386,Aditya Birla Group,4.1,2.4k,Metals & Mining 
387,Statestreet HCL Services,3.4,2.4k,BPO 
388,Info Edge,3.8,2.4k,Internet 
389,Taj Hotels Resorts and Palaces,4.2,2.4k,Hospitality 
390,Bureau Veritas,3.8,2.4k,Other 
391,RMSI,3.5,2.4k,IT Services & Consulting 
392,3i Infotech,3.4,2.4k,IT Services & Consulting 
393,Cholamandalam MS General Insurance,3.7,2.4k,Insurance 
394,Newgen Software Technologies,4.1,2.4k,IT Services & Consulting 
395,Delhi Public School,3.7,2.4k,Education & Training 
396,Axis Direct,3.7,2.4k,Financial Services 
397,Capgemini Engineering,3.3,2.4k,IT Services & Consulting 
398,Aavas Financiers,3.9,2.4k,NBFC 
399,Cybage,3.7,2.4k,IT Services & Consulting 
400,Straive,3.3,2.4k,IT Services & Consulting 
401,Lodha,4.2,2.4k,Real Estate 
402,KocharTech,3.6,2.3k,IT Services & Consulting 
403,Sopra Steria,3.9,2.3k,IT Services & Consulting 
404,Apollo Pharmacy,3.7,2.3k,Pharma 
405,Xoriant,4.0,2.3k,IT Services & Consulting 
