,Name,Rating,No. of Reviews,Type of Company
522,HTC Global Services,3.4,1.9k,IT Services & Consulting 
523,Angel One,3.5,1.9k,FinTech 
524,G R Infraprojects,4.1,1.9k,Engineering & Construction 
525,DHL Supply Chain,4.2,1.9k,Logistics 
526,Tata Power,3.9,1.9k,Power 
527,Godrej Properties,3.6,1.9k,Real Estate 
528,ICICI Home Finance,3.7,1.9k,Financial Services 
529,Trident Group,3.2,1.9k,Hospitality 
530,NTPC,4.2,1.9k,Power 
531,CSB Bank,3.2,1.9k,Banking 
532,Thomson Reuters,3.7,1.9k,Software Product 
533,Iris Software,3.7,1.9k,IT Services & Consulting 
534,Google,4.4,1.9k,Software Product 
535,Lucas-TVS,3.9,1.9k,Auto Components 
536,Verizon,3.5,1.9k,Telecom 
537,PI Industries,3.8,1.9k,Agro Chemicals 
538,Infinx,3.7,1.9k,Software Product 
539,Safexpress,3.9,1.9k,Logistics 
540,NeoSOFT,3.3,1.9k,IT Services & Consulting 
541,Torrent Power,3.7,1.9k,Power 
542,Tekwissen,4.9,1.9k,IT Services & Consulting 
543,Polycab Wires,4.0,1.9k,Electrical Equipment 
544,Jindal Saw,4.0,1.9k,Iron & Steel 
545,Hindustan Aeronautics,4.2,1.9k,Defence & Aerospace 
546,Tata Tele Business Services,3.5,1.9k,Telecom 
547,Medi Assist India,3.5,1.9k,Insurance 
548,TVS Sundram Fasteners,3.6,1.9k,Auto Components 
549,AXA Global Business Services,3.7,1.9k,IT Services & Consulting 
550,Aragen Life Sciences,3.9,1.9k,Clinical Research 
551,Capri Global Capital,3.6,1.9k,NBFC 
552,Fusion CX,3.2,1.9k,BPO 
553,Infra.Market,3.9,1.9k,Building Material 
554,KENT RO Systems,3.7,1.9k,Consumer Electronics & Appliances 
555,First American (India),3.5,1.9k,Insurance 
556,Orchids International School,3.9,1.8k,Education & Training 
557,Digit Insurance,3.6,1.8k,Insurance 
558,AkzoNobel,4.1,1.8k,Chemicals 
559,Honda Cars,4.3,1.8k,Automobile 
560,Haldiram Foods International Limited,3.8,1.8k,FMCG 
561,DIVI'S Laboratories,3.6,1.8k,Pharma 
562,Hindustan Petroleum,4.2,1.8k,Oil & Gas 
563,Rungta Mines,4.0,1.8k,Metals & Mining 
564,Innovsource Services,3.9,1.8k,Recruitment 
565,Sterling & Wilson,4.1,1.8k,Engineering & Construction 
566,Adani Green Energy,3.9,1.8k,Power 
567,MetLife,4.0,1.8k,Insurance 
568,Cafe Coffee Day,3.7,1.8k,Hospitality 
569,Air India,3.4,1.8k,Aviation 
